Name,USPS,Date,Area (sq mi),Population (2010),Capital,Most populous city
Alabama,AL,December 14 1819 ,52419 sq mi (135765 km2) ,4779736,Montgomery ,Birmingham
Alaska,AK,January 3 1959 ,663267 sq mi (1717854 km2) ,710231,Juneau ,Anchorage
Arizona,AZ,February 14 1912 ,113998 sq mi (295254 km2) ,6392017,Phoenix ,Phoenix
Arkansas,AR,June 15 1836 ,52897 sq mi (137002 km2) ,2915918,Little Rock ,Little Rock
California,CA,September 9 1850 ,163700 sq mi (423970 km2) ,37253956,Sacramento ,Los Angeles
Colorado,CO,August 1 1876 ,104185 sq mi (269837 km2) ,5029196,Denver ,Denver
Connecticut,CT,January 9 1788 ,5543 sq mi (14356 km2) ,3574097,Hartford ,Bridgeport
Delaware,DE,December 7 1787 ,2491 sq mi (6452 km2) ,897934,Dover ,Wilmington
Florida,FL,March 3 1845 ,65755 sq mi (170304 km2) ,18801310,Tallahassee ,Jacksonville
Georgia,GA,January 2 1788 ,59425 sq mi (153909 km2) ,9687653,Atlanta ,Atlanta
Hawaii,HI,August 21 1959 ,10931 sq mi (28311 km2) ,1360301,Honolulu ,Honolulu
Idaho,ID,July 3 1890 ,83642 sq mi (216632 km2) ,1567582,Boise ,Boise
Illinois,IL,December 3 1818 ,54826 sq mi (141998 km2) ,12830632,Springfield ,Chicago
Indiana,IN,December 11 1816 ,36418 sq mi (94321 km2) ,6483802,Indianapolis ,Indianapolis
Iowa,IA,December 28 1846 ,56272 sq mi (145743 km2) ,3046355,Des Moines ,Des Moines
Kansas,KS,January 29 1861 ,82277 sq mi (213096 km2) ,2853118,Topeka ,Wichita
Kentucky,KY,June 1 1792 ,40409 sq mi (104659 km2) ,4339367,Frankfort ,Louisville
Louisiana,LA,April 30 1812 ,52271 sq mi (135382 km2) ,4533372,Baton Rouge ,New Orleans
Maine,ME,March 15 1820 ,35385 sq mi (91646 km2) ,1328361,Augusta ,Portland
Maryland,MD,April 28 1788 ,12407 sq mi (32133 km2) ,5773552,Annapolis ,Baltimore
Massachusetts,MA,February 6 1788 ,10554 sq mi (27336 km2) ,6547629,Boston ,Boston
Michigan,MI,January 26 1837 ,97990 sq mi (253793 km2) ,9883640,Lansing ,Detroit
Minnesota,MN,May 11 1858 ,86943 sq mi (225181 km2) ,5303925,Saint Paul ,Minneapolis
Mississippi,MS ,December 10 1817 ,48434 sq mi (125443 km2) ,2967297,Jackson ,Jackson
Missouri,MO,August 10 1821 ,69704 sq mi (180533 km2) ,5988927,Jefferson City ,Kansas City
Montana,MT,November 8 1889 ,147165 sq mi (381156 km2) ,989415,Helena ,Billings
Nebraska,NE,March 1 1867 ,77420 sq mi (200520 km2) ,1826341,Lincoln ,Omaha
Nevada,NV,October 31 1864 ,110567 sq mi (286367 km2) ,2700551,Carson City ,Las Vegas
New Hampshire,NH,June 21 1788 ,9350 sq mi (24217 km2) ,1316470,Concord ,Manchester
New Jersey,NJ,December 18 1787 ,8729 sq mi (22608 km2) ,8791894,Trenton ,Newark
New Mexico,NM,January 6 1912 ,121697 sq mi (315194 km2) ,2059179,Santa Fe ,Albuquerque
New York,NY,July 26 1788 ,54556 sq mi (141299 km2) ,19378102,Albany ,New York City
North Carolina,NC,November 21 1789 ,53865 sq mi (139509 km2) ,9535483,Raleigh ,Charlotte
North Dakota,ND,November 2 1889 ,70762 sq mi (183272 km2) ,672591,Bismarck ,Fargo
Ohio,OH,March 1 1803 ,44825 sq mi (116096 km2) ,11536504,Columbus ,Columbus
Oklahoma,OK,November 16 1907 ,69960 sq mi (181195 km2) ,3751351,Oklahoma City ,Oklahoma City
Oregon,OR,February 14 1859 ,98466 sq mi (255026 km2) ,3831074,Salem ,Portland
Pennsylvania,PA,December 12 1787 ,46055 sq mi (119283 km2) ,12702379,Harrisburg ,Philadelphia
Rhode Island,RI,May 29 1790 ,1210 sq mi (3140 km2) ,1052567,Providence ,Providence
South Carolina,SC,May 23 1788 ,32020 sq mi (82931 km2) ,4625364,Columbia ,Columbia
South Dakota,SD,November 2 1889 ,77184 sq mi (199905 km2) ,814180,Pierre ,Sioux Falls
Tennessee,TN,June 1 1796 ,42181 sq mi (109247 km2) ,6346105,Nashville ,Memphis
Texas,TX,December 29 1845 ,268820 sq mi (696241 km2) ,25145561,Austin ,Houston
Utah,UT,January 4 1896 ,84899 sq mi (219887 km2) ,2763885,Salt Lake City ,Salt Lake City
Vermont,VT,March 4 1791 ,9623 sq mi (24923 km2) ,625741,Montpelier ,Burlington
Virginia,VA,June 25 1788 ,42774 sq mi (110785 km2) ,8001024,Richmond ,Virginia Beach
Washington,WA,November 11 1889 ,71362 sq mi (184827 km2) ,6724540,Olympia ,Seattle
West Virginia,WV,June 20 1863 ,24230 sq mi (62755 km2) ,1852994,Charleston ,Charleston
Wisconsin,WI,May 29 1848 ,65498 sq mi (169639 km2) ,5686986,Madison ,Milwaukee
Wyoming,WY,July 10 1890 ,97818 sq mi (253348 km2) ,563626,Cheyenne ,Cheyenne
